,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
277,2.0,22.0,24.0,17.0,44.0,80.0,False,9.798182590890704,4943.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,2.0,3.0,5.0,10.0,29.0,60.0,False,9.539716058977092,2183.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
279,2.0,2.0,3.0,6.5,26.0,42.0,True,9.259225769705994,4007.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,2.0,8.0,9.0,8.0,32.0,51.0,False,9.392745258631441,5713.5999999999985,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
281,2.0,2.0,9.0,7.0,32.0,55.0,False,9.04793908261736,2780.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,2.0,11.0,16.0,12.0,37.0,57.0,False,9.210440366976517,9045.2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
283,3.0,19.0,25.0,19.0,56.0,105.0,False,10.404293143019792,2608.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
284,1.0,21.0,24.0,18.0,22.0,58.0,False,9.60245002503719,5671.200000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
285,2.0,4.0,9.0,9.0,34.0,56.0,False,9.472781556562168,5580.400000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
286,1.0,2.0,9.0,7.0,15.0,33.0,False,8.922791623969637,9279.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
287,2.0,7.0,9.0,11.0,31.0,52.0,False,9.472781556562168,3742.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
288,1.0,1.0,9.0,10.0,18.0,36.0,False,8.853808274977197,7195.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
289,1.0,2.0,24.0,16.0,23.0,57.0,False,9.305741456739435,7931.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
290,3.0,9.0,16.0,9.0,40.0,73.0,False,9.305741456739435,7179.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
291,2.0,1.0,5.0,8.0,38.0,47.0,False,9.105090961257085,7743.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292,2.0,4.0,5.0,7.0,33.0,46.0,False,9.392745258631441,5888.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
293,1.0,3.0,12.0,8.0,19.0,37.0,False,8.922791623969637,626.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294,2.0,24.0,25.0,12.0,36.0,78.0,False,9.392745258631441,6277.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
295,2.0,2.0,5.0,8.0,30.0,45.0,False,9.04793908261736,2670.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
296,1.0,12.0,12.0,15.0,20.0,54.0,False,8.853808274977197,9040.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,2.0,5.0,5.0,8.0,30.0,48.0,False,8.987321812850125,4184.4000000000015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
298,3.0,17.0,18.0,19.0,60.0,110.0,True,9.936970683352676,6356.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
299,1.0,16.0,24.0,18.0,18.0,44.0,False,9.433563920090563,7977.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300,1.0,6.0,9.0,8.0,19.0,40.0,False,8.853808274977197,9290.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,2.0,4.0,5.0,5.0,45.0,50.0,True,9.820920828879165,974.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
302,4.0,7.0,9.0,60.0,60.0,165.0,False,10.43396873396056,2046.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
303,1.0,13.0,20.0,17.3,19.4,54.0,True,9.61587214452889,4345.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
304,2.0,3.0,9.0,8.0,30.0,50.0,False,9.105090961257085,7263.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
305,2.0,11.0,16.0,10.0,40.0,66.0,False,9.105090961257085,11170.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
306,1.0,4.0,5.0,8.0,39.0,39.0,False,8.853808274977197,6456.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
307,2.0,5.0,5.0,8.0,25.0,48.0,False,8.922791623969637,7872.799999999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
308,1.0,13.0,20.0,17.3,19.4,54.0,True,9.61587214452889,4526.4000000000015,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
309,2.0,4.0,6.0,13.0,35.0,62.0,False,9.90353755128617,4490.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
310,1.0,16.0,22.0,14.0,18.0,46.0,False,8.974744612722734,7088.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
