AdPrice,Adress,Center,District,Floor,Hospital,ID,Kindergarten,KitchenArea,LivingArea,Metro,OfferType,Price,Rate,Rooms,School,Street,TotalArea,TotalFloor,Walls,WaterHeatType
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, ст.м. Осокорки, Княжий Затон вулиця, буд. 21",False,nan,11,False,15235993,True,20 м² ,35 м² ,nan,від посередника  ,24 000,nan,2,True,nan,86 м² ,36,цегла  ,True
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Дарницький",False,nan,4,False,14909221,False,12 м² ,nan,nan,від власника  ,8 500,nan,1,False,nan,45 м² ,8,цегла  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Святошинський, Леся Курбаса пр-т",False,nan,4,False,15236647,False,nan,nan,nan,від посередника  ,9 000,nan,1,False,nan,39 м² ,9,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Дарницький, Гмыри Бориса ул., 12Б",False,nan,20,False,15236646,False,8 м² ,nan,nan,від посередника  ,14 000,nan,2,False,nan,53 м² ,25,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Дарницький, ст.м. Дарниця, Харківське шосе, буд. 19",False,nan,7,False,15236743,False,10 м² ,28 м² ,nan,від власника  ,5 500,nan,1,False,nan,45 м² ,10,цегла  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 1 кім., Київ, ст.м. Академмістечко, Клавдіївська вулиця, буд. 22",False,nan,9,False,15236634,False,10 м² ,188 м² ,nan,від посередника  ,8 000,nan,1,False,nan,41 м² ,16,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Деснянський",False,nan,3,False,15161983,False,10 м² ,30 м² ,nan,від посередника  ,6 500,nan,2,False,nan,60 м² ,9,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Дружби народів, Бастіонний провулок, буд. 9",False,nan,5,False,15236682,False,10 м² ,36 м² ,nan,від представника господаря (без комісійних)  ,17 000,nan,2,False,nan,65 м² ,13,цегла  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, Большая Васильковская ул., 112",False,nan,4,False,15236644,False,nan,nan,nan,від посередника  ,12 000,nan,1,False,nan,36 м² ,9,панель  ,False
немає  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Шевченківський, ст.м. Університет, Дмитрівська вулиця, буд. 2",False,nan,8,False,15236740,False,11 м² ,48 м² ,nan,від представника господаря (без комісійних)  ,19 000,nan,3,False,nan,79 м² ,9,цегла  ,False
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Оболонський, ст.м. Мінська, Маршала Тимошенка вулиця, буд. 19",False,nan,3,False,15081859,False,15 м² ,42 м² ,nan,від представника господаря (без комісійних)  ,17 000,nan,3,False,nan,70 м² ,10,цегла  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Шевченківський, Дегтяревская ул., 433",False,nan,1,False,15236256,False,nan,nan,nan,від посередника  ,9 000,nan,2,False,nan,40 м² ,5,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Подільський, ст.м. Нивки, Світлицького вулиця, буд. 24",False,nan,1,False,15236241,False,nan,nan,nan,від посередника  ,7 500,nan,2,False,nan,50 м² ,9,цегла  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Подільський, Белицкая ул., 20",False,nan,2,False,15236245,False,11 м² ,56 м² ,nan,від посередника  ,12 000,nan,3,False,nan,104 м² ,20,панель  ,False
nan,"Довгострокова оренда квартири, 3 кім., Київ, р‑н. Печерський, Дмитриевская ул., 13 quotАquot",False,nan,18,False,15236257,False,nan,nan,nan,від посередника  ,30 000,nan,3,False,nan,120 м² ,19,панель  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Печерський, Гончара Олеся ул., 32 quotАquot",False,nan,2,False,15236251,False,nan,nan,nan,від посередника  ,17 600,nan,1,False,nan,47 м² ,6,панель  ,False
nan,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, Шевченко Тараса бул.",False,nan,4,False,15236253,False,nan,nan,nan,від посередника  ,25 000,nan,2,False,nan,65 м² ,5,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Печерський, ст.м. Дружби народів, Киквидзе ул, буд. 4",False,nan,3,False,15236345,False,8 м² ,33 м² ,nan,від посередника  ,12 800,nan,2,False,nan,52 м² ,5,цегла  ,False
плата згідно з лічильниками  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Святошинський, ст.м. Академмістечко, Ефремова, буд. 17",False,nan,3,False,15236370,False,9 м² ,nan,nan,від посередника  ,12 000,nan,2,False,nan,56 м² ,16,панель  ,False
плата згідно з лічильниками і за опалення  ,"Довгострокова оренда квартири, 2 кім., Київ, р‑н. Деснянський, ст.м. Лісова, проспект Лесной, буд. 13",False,nan,9,False,15236779,False,7 м² ,26 м² ,nan,від посередника  ,8 500,nan,2,False,nan,45 м² ,9,панель  ,False
немає  ,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Шевченківський, ст.м. Вокзальна, Жилянська вулиця, буд. 118",False,nan,22,False,15236371,False,12 м² ,nan,nan,від представника господаря (без комісійних)  ,16 997,nan,1,False,nan,53 м² ,33,цегла  ,False
nan,"Довгострокова оренда квартири, 1 кім., Київ, р‑н. Оболонський, Иорданская ул.",False,nan,6,False,15236858,False,nan,nan,nan,від посередника  ,6 500,nan,1,False,nan,29 м² ,9,панель  ,False
